"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","31.17667","Serranidae","Epinephelus","areolatus",1,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","39.77667","Serranidae","Epinephelus","rivulatus",1,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","6.54467","Acanthuridae","Acanthurus","mata",3,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","5.25000","Acanthuridae","Naso","hexacanthus",6,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","18.78600","Balistidae","Xanthichthys","lineopunctatus",2,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","35.51733","Caesionidae","Pterocaesio","chrysozona",42,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","37.56533","Carangidae","Carangoides","fulvoguttatus",1,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","11.10200","Chaetodontidae","Heniochus","diphreutes",3,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","0.63933","Haemulidae","Diagramma","pictum",1,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","57.62467","Holocentridae","Myripristis","botche",3,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","8.14000","Labridae","Bodianus","solatus",2,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","54.61267","Labridae","Labroides","dimidiatus",1,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","16.07267","Labridae","Pseudojuloides","sp1",3,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","59.81067","Labridae","Suezichthys","cyanolaemus",1,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","13.52133","Lethrinidae","Gymnocranius","grandoculis",3,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","47.32467","Lethrinidae","Lethrinus","miniatus",4,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","35.09200","Lethrinidae","Lethrinus","ravus",2,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","10.03_L367.avi","38.90400","Lethrinidae","Lethrinus","rubrioperculatus",1,"-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
